Attaching to airflow-starter-airflow-init-1
airflow-starter-airflow-init-1  | The container is run as root user. For security, consider using a regular user account.
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.427+0000] {override.py:1912} INFO - Created Permission View: can read on Roles
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.433+0000] {override.py:1963} INFO - Added Permission can read on Roles to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.439+0000] {override.py:1912} INFO - Created Permission View: can edit on Roles
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.443+0000] {override.py:1963} INFO - Added Permission can edit on Roles to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.449+0000] {override.py:1912} INFO - Created Permission View: can delete on Roles
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.454+0000] {override.py:1963} INFO - Added Permission can delete on Roles to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.466+0000] {override.py:1912} INFO - Created Permission View: menu access on List Roles
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.470+0000] {override.py:1963} INFO - Added Permission menu access on List Roles to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.487+0000] {override.py:1912} INFO - Created Permission View: can read on User Stats Chart
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.492+0000] {override.py:1963} INFO - Added Permission can read on User Stats Chart to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.507+0000] {override.py:1912} INFO - Created Permission View: menu access on User's Statistics
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.514+0000] {override.py:1963} INFO - Added Permission menu access on User's Statistics to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.548+0000] {override.py:1912} INFO - Created Permission View: can read on Permissions
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.554+0000] {override.py:1963} INFO - Added Permission can read on Permissions to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.564+0000] {override.py:1912} INFO - Created Permission View: menu access on Actions
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.568+0000] {override.py:1963} INFO - Added Permission menu access on Actions to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.598+0000] {override.py:1912} INFO - Created Permission View: can read on View Menus
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.602+0000] {override.py:1963} INFO - Added Permission can read on View Menus to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.615+0000] {override.py:1912} INFO - Created Permission View: menu access on Resources
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.620+0000] {override.py:1963} INFO - Added Permission menu access on Resources to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.649+0000] {override.py:1912} INFO - Created Permission View: can read on Permission Views
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.655+0000] {override.py:1963} INFO - Added Permission can read on Permission Views to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.666+0000] {override.py:1912} INFO - Created Permission View: menu access on Permission Pairs
airflow-starter-airflow-init-1  | [2025-05-12T22:14:34.673+0000] {override.py:1963} INFO - Added Permission menu access on Permission Pairs to role Admin
airflow-starter-airflow-init-1  | [2025-05-12T22:14:36.497+0000] {override.py:1597} INFO - Added user airflow
airflow-starter-airflow-init-1  | User "airflow" created with role "Admin"
airflow-starter-airflow-init-1  | 2.10.5
airflow-starter-airflow-init-1 exited with code 0
